workerid,proliferate.condition,time_in_minutes,error
13,young,19.345083333333335,
27,young,8.70375,
24,young,21.246116666666666,
21,young,10.5578,
6,young,15.095466666666669,
16,young,9.2046,
25,young,8.681133333333333,
17,young,8.913766666666668,
15,young,14.590883333333334,
10,young,8.54125,
8,young,23.936983333333337,
26,young,15.067516666666666,
19,young,9.68815,
7,young,8.3782,
22,young,7.864716666666666,
23,young,11.8261,
12,young,16.512116666666667,
20,young,11.990266666666669,
18,young,11.975616666666667,
11,young,12.107383333333331,
