workerid,proliferate.condition,triral_3_time_in_minutes,error
13,young,3.95165,
27,young,1.8274166666666667,
24,young,3.48195,
21,young,2.03765,
6,young,2.0736333333333334,
16,young,2.04335,
25,young,1.8531833333333336,
17,young,2.104633333333333,
15,young,3.4819666666666667,
10,young,2.1528833333333335,
8,young,2.1680166666666665,
26,young,2.6183833333333335,
19,young,2.08375,
7,young,2.03525,
22,young,1.8828333333333336,
23,young,2.989916666666667,
12,young,6.3425,
20,young,2.1632833333333332,
18,young,2.259516666666667,
11,young,1.8788333333333336,
