workerid,proliferate.condition,f0,id,poa,response,slide_number_in_experiment,vot,word,error
13,young,,check,,false,2,,check1,
13,young,,check,,true,2,,check1,
13,young,,check,,true,3,,check2,
13,young,,check,,true,4,,check3,
13,young,2,practice,lab,tense,6,2,pang,
13,young,3,practice,lab,asp,7,8,pang,
13,young,8,practice,lab,asp,8,3,pang,
13,young,8,practice,lab,asp,9,8,pang,
13,young,7,practice,lab,tense,10,2,pang,
13,young,4,practice,lab,lenis,11,8,pang,
13,young,4,practice,lab,tense,12,2,pang,
13,young,3,practice,lab,lenis,13,4,pang,
13,young,2,practice,lab,lenis,14,3,pang,
13,young,5,practice,lab,asp,15,3,pang,
13,young,7,pang_F0_7_VOT_2.wav,lab,tense,17,2,pang,
13,young,2,pang_F0_2_VOT_2.wav,lab,lenis,18,2,pang,
13,young,6,pang_F0_6_VOT_2.wav,lab,tense,19,2,pang,
13,young,2,pang_F0_2_VOT_4.wav,lab,lenis,20,4,pang,
13,young,7,pang_F0_7_VOT_3.wav,lab,asp,21,3,pang,
13,young,1,pang_F0_1_VOT_2.wav,lab,lenis,22,2,pang,
13,young,8,pang_F0_8_VOT_1.wav,lab,tense,23,1,pang,
13,young,1,pang_F0_1_VOT_5.wav,lab,lenis,24,5,pang,
13,young,8,pang_F0_8_VOT_3.wav,lab,asp,25,3,pang,
13,young,3,pang_F0_3_VOT_8.wav,lab,lenis,26,8,pang,
13,young,3,pang_F0_3_VOT_6.wav,lab,lenis,27,6,pang,
13,young,8,pang_F0_8_VOT_6.wav,lab,asp,28,6,pang,
13,young,1,pang_F0_1_VOT_1.wav,lab,tense,29,1,pang,
13,young,3,pang_F0_3_VOT_3.wav,lab,lenis,30,3,pang,
13,young,1,pang_F0_1_VOT_6.wav,lab,lenis,31,6,pang,
13,young,4,pang_F0_4_VOT_1.wav,lab,tense,32,1,pang,
13,young,5,pang_F0_5_VOT_1.wav,lab,tense,33,1,pang,
13,young,7,pang_F0_7_VOT_6.wav,lab,asp,34,6,pang,
13,young,3,pang_F0_3_VOT_7.wav,lab,asp,35,7,pang,
