workerid,proliferate.condition,triral_2_time_in_minutes,error
13,young,3.8983666666666665,
27,young,1.8543666666666667,
24,young,3.81275,
21,young,2.01115,
6,young,1.7732,
16,young,2.0896666666666666,
25,young,1.9968,
17,young,2.3756666666666666,
15,young,3.2269,
10,young,2.2706333333333335,
8,young,3.343066666666666,
26,young,3.0616833333333333,
19,young,2.1159333333333334,
7,young,1.95465,
22,young,1.8057833333333333,
23,young,2.7179166666666665,
12,young,2.5992333333333333,
20,young,2.362216666666667,
18,young,2.2564,
11,young,1.939533333333333,
